TID,English Term,English Definition,Spanish Term,Spanish Definition
253,Extrapolation,The process of predicting a value outside the range of known values through extrapolation.,Extrapolación,Proceso que se usa en la extrapolación para predecir un valor por fuera del ámbito de los valores dados.
256,Factor by grouping,A method of factoring that uses the distributive property to remove a common binomial factor of two pairs of terms through the process of factor by grouping.,Factor común por agrupación de términos,Método de factorización que aplica la propiedad distributiva para sacar un factor común por agrupación de términos de dos pares de términos en un binomio.
258,Factoring,Factoring is rewriting an expression as the product of its factors.,Descomposición factorial,Descomponer en factores es el proceso de escribir de nuevo una expresión como el producto de sus factores mediante la descomposición factorial.
260,Family of functions,A family of functions is a group of functions that use the same common operation in their equation forms.,Familia de funciones,Una familia de funciones es un grupo de funciones que usan la misma operación común en su forma de ecuación.
261,Feasible region,"In a linear programming problem, the feasible region contains all the values that satisfy the constraints on the objective function.",Región factible,"En un problema de programación lineal, la región factible contiene todos los valores que satisfacen las restricciones de la función objetiva."
262,Fibonacci Sequence,"The Fibonacci sequence is the infinite sequence of numbers beginning with 1, 1, . . . such that each term is the sum of the two previous terms.",Sucesión de Fibonacci,"La sucesión de Fibonacci es la sucesión infinita de números que comienza con 1, 1, . . . de forma tal que cada término es la suma de los dos términos anteriores."
263,Finite series,A finite series is a series with a finite number of terms.,Serie finita,Una serie finita es una serie con un número finito de términos.
264,Floor function,The floor function rounds numbers down to the nearest integer.,Función piso,La función piso redondea los números hacia abajo al entero más cercano.
266,Focal length,The focal length of a parabola is the distance between the vertex and the focus.,Distancia focal,La distancia focal de una parábola es la distancia entre el vértice y el foco.
270,Formula,A formula is an equation that states a relationship among quantities.,Fórmula,Ecuación que establece una relación entre cantidades mediante una fórmula.
272,Frequency table,A frequency table is a table that groups a set of data values into intervals and shows the frequency for each interval.,Tabla de frecuencias,Tabla de frecuencias que agrupa un conjunto de datos en intervalos y muestra la frecuencia de cada intervalo.
273,Function,A function is a relation in which each element of the domain corresponds with exactly one element in the range.,Función,Una función es una relación en la que cada elemento del dominio corresponde exactamente con un elemento del rango.
275,Function rule,A function rule represents an output value in terms of an input value.,Regla de función,Una regla de función representa un valor de salida en función a un valor de entrada.
276,Fundamental Counting Principle,"The fundamental counting principle states that if there are m ways to make the first selection and n ways to make the second selection, then there are m ∙ n ways to make the two selections according to the fundamental counting principle.",Principio básico de conteo,El principio básico de conteo es una herramienta que se puede utilizar para hacer un conteo rápido del número de formas en que pueden ocurrir ciertas cosas.
278,Gaussian elimination,The process of using row operations on a matrix that represents a system of equations in order to solve the system using gaussian elimination.,Eliminación gaussiana,El proceso de usar operaciones de fila en una matriz que representa un sistema de ecuaciones para resolver el sistema mediante la eliminación gaussiana.
282,Geometric probability,Geometric probability is a probability that uses a geometric model in which points represent outcomes.,Probabilidad geométrica,La probabilidad geométrica es una probabilidad que utiliza un modelo geométrico donde se usan puntos para representar resultados.
283,Geometric sequence,A geometric sequence is a number sequence formed by multiplying a term in the sequence by a fixed number to find the next term.,Progresión geométrica,Una progresión geométrica es una progresión con una razón constante entre términos consecutivos.
284,Geometric series,A geometric series is the sum of the terms in a geometric sequence.,Serie geométrica,Una serie geométrica es la suma de términos en una progresión geométrica.
285,Glide reflection,A glide reflection is the composition of a reflection followed by a translation in a direction parallel to the line of reflection.,Reflexión deslizada,Una reflexión deslizada es la composición de una traslación seguida por una reflexión a través de una línea paralela a la dirección de traslación.
287,Great circle,A great circle is the intersection of a sphere and a plane containing the center of the sphere. A great circle divides a sphere into two hemispheres.,Círculo máximo,Un círculo máximo es la intersección de una esfera y un plano que contiene el centro de la esfera. Un círculo máximo divide una esfera en dos hemisferios.
288,Greatest common factor,The greatest common factor (GCF) of an expression is the common factor of each term of the expression that has the greatest coefficient and the greatest exponent.,Máximo factor común,El máximo factor común de una expresión es el factor común de cada término de la expresión que tiene el mayor coeficiente y el mayor exponente.
289,Greatest integer function,The greatest integer function corresponds each input x to the greatest integer less than or equal to x.,Función del entero mayor,La función del entero mayor relaciona cada entrada x con el entero mayor que es menor o igual a x.
290,Growth factor,"In an exponential function of the form y = ab^x , b is the growth factor if b > 1.",Factor incremental,1 más la tasa porcentual de cambio en una situación de incremento exponencial que se utiliza para calcular el factor incremental.
291,Half-plane,A half-plane is the set of points in a coordinate plane that are on one side of the boundary of the graph of a linear inequality.,Semiplano,Un semiplano es el conjunto de puntos de un plano de coordenadas que están a un lado del límite de la gráfica de desigualdad lineal.
294,Heron's formula,Heron's formula is a formula for finding the area of a triangle given the lengths of its sides.,Fórmula de Herón,"La fórmula de Herón se usa para hallar el área de un triángulo, dadas las longitudes de sus lados."
295,Hexagon,A hexagon is a polygon with six sides.,Hexágono,Un hexágono es un polígono de seis lados.
296,Histogram,"A special type of bar graph known as a histogram can display data from a frequency table. Each bar in the histogram represents an interval, and the height of each bar shows the frequency of the interval it represents.",Histograma,Tipo de gráfica de barras que muestra los datos de una tabla de frecuencia. Cada barra en el histograma representa un intervalo. La altura de cada barra del histograma muestra la frecuencia del intervalo al que representa.
299,Hypothesis,In an if-then statement (conditional) the hypothesis is the part that follows if.,Hipótesis,"En un enunciado si . . . entonces . . . (condicional), la hipótesis es la parte del enunciado que sigue el si."
301,Identity,An identity is an equation between two polynomial expressions in which one side can be transformed into the other side using defined rules of calculation.,Identidad,Una ecuación que es verdadera para todos los valores de la identidad.
302,Identity matrix,An identity matrix is a matrix I such that IB = BI =B; it is a square matrix with 1s along the main diagonal and 0 for all of the other elements.,Matriz de identidad,Una matriz de identidad es una matriz I tal que IB = BI = B</i.>; una matriz cuadrada con unos por la diagonal principal y ceros en los demás elementos.
304,Imaginary axis,The vertical axis in the complex plane is the imaginary axis.,Eje imaginario,El eje vertical en el plano complejo es el eje imaginario.
306,Imaginary unit,The imaginary unit i is the complex number whose square is –1.,Unidad imaginaria,La unidad imaginaria i es el número complejo cuyo cuadrado es –1.
308,Inconsistent system,A system of equations that has no solution is an inconsistent system.,Sistema incompatible,Un sistema incompatible es un sistema de ecuaciones para el cual no hay solución.
309,Independent events,"When the outcome of one event does not affect the probability of a second event, the two events are independent events.",Sucesos independientes,"Cuando el resultado de un suceso no altera la probabilidad de otro, los dos sucesos son sucesos independientes."
310,Independent system,A system of linear equations that has a unique solution is an independent system.,Sistema independiente,Un sistema de ecuaciones lineales que tenga una sola solución es un sistema independiente.
311,Independent variable,A variable that provides the input values of a function known as an independent variable.,Variable independiente,Variable independiente de la que dependen los valores de entrada de una función.
312,Index,"With a radical sign, the index indicates the degree of the root.",Índice,"Con un signo de radical, el índice indica el grado de la raíz."
313,Indirect measurement,Indirect measurement is a way of measuring things that are difficult to measure directly.,Medición indirecta,La medición indirecta es un modo de medir cosas difíciles de medir directamente.
315,Indirect reasoning,Indirect reasoning is a type of reasoning in which all possibilities are considered and then all but one are proved false. The remaining possibility must be true.,Razonamiento indirecto,"Razonamiento indirecto es un tipo de razonamiento en el que se consideran todas las posibilidades y se prueba que todas son falsas, a excepción de una. La posibilidad restante debe ser verdadera."
316,Inductive reasoning,Inductive reasoning is a type of reasoning that reaches conclusions based on a pattern of specific examples or past events.,Razonamiento inductivo,El razonamiento inductivo es un tipo de razonamiento en el cual se llega a conclusiones con base en un patrón de ejemplos específicos o sucesos pasados.
317,Inequality,A mathematical sentence that compares the values of two expressions using an inequality symbol.,Desigualdad,Expresión matemática que compara el valor de dos expresiones con el símbolo de desigualdad.
318,Infinite series,An infinite series is a series with infinitely many terms.,Serie infinita,Una serie infinita es una serie con un número infinito de términos.
319,Initial point,The initial point of a vector is the endpoint (not the tip) of a vector arrow.,Punto de inicio,El punto de inicio de un vector es el extremo (no la punta) de una flecha vectorial.
320,Initial side,"When an angle is in standard position, the initial side of the angle is given to be on the positive x-axis. The other ray is the terminal side of the angle.",Lado inicial,"Cuando un ángulo está en posición normal, el lado inicial del ángulo se ubica en el eje positivo de las x. El otro rayo, o semirrecta, forma el lado terminal del ángulo."
322,Inscribed angle,An inscribed angle is an angle in a circle if the vertex of the angle is on the circle and the sides of the angle are chords of the circle.,Ángulo inscrito,Un ángulo inscrito está en un círculo si el vértice del ángulo inscrito está en el círculo y los lados del ángulo inscrito son cuerdas del círculo.
323,Inscribed in,A circle is inscribed in a polygon if the sides of the polygon are tangent to the circle. A polygon is inscribed in a circle if the vertices of the polygon are on the circle.,Inscrito en,Un círculo está inscrito en un polígono si los lados del polígono son tangentes al círculo. Un polígono está inscrito en un círculo si los vértices del polígono están en el círculo.
324,Integers,Whole numbers and their opposites are called integers.,Números enteros,"Números enteros que constan exclusivamente de una o más unidades, y sus opuestos."
325,Intercepted arc,"An intercepted arc is an arc of a circle having endpoints on the sides of an inscribed angle, and its other points in the interior of the angle.",Arco interceptor,Un arco interceptor es un arco de un círculo cuyos extremos están en los lados de un ángulo inscrito y los punto restantes están en el interior del ángulo
326,Interpolation,The process of estimating a value through interpolation between two known quantities.,Interpolación,Proceso que se usa para estimar el valor de una interpolación entre dos cantidades dadas.
327,Interquartile range,The interquartile range of a set of data is the difference between the third and first quartiles.,Intervalo intercuartil,El intervalo intercuartil de un conjunto de datos es la diferencia entre el tercero y el primer cuartiles.
328,Intersection,The intersection is the set of elements that are common to two or more sets.,Intersección,El conjunto de elementos que son comunes a dos o más conjuntos en la intersección.
330,Interval notation,"A notation for describing an interval on a number line, specifies the interval’s endpoint(s) and uses a parenthesis or bracket in interval notation to indicate whether each endpoint is included in the interval.",Notación de intervalo,Notación de intervalo que describe un intervalo en una recta numérica. Los extremos del intervalo se incluyen y se usa un paréntesis o corchete para indicar si cada extremo está incluido en el intervalo.
333,Inverse matrix,An inverse matrix is a matrix such that its product with another matrix yields the identity matrix.,Matriz inversa,Una matriz inversa es una matriz tal que su producto con otra matriz da la matriz de identidad.
334,Inverse operations,"Operations that undo one another, are called inverse operations.",Operaciones inversas,Las operaciones inversas son las que se cancelan una a la otra.
337,Irrational number,A number that cannot be written as a ratio of two integers. Irrational numbers in decimal form are nonterminating and nonrepeating.,Número irracional,Número irracional que no puede expresarse como razón de dos números enteros. Los números irracionales en forma decimal no tienen término y no se repiten.
338,Isolate,Isolate refers to using properties of equality and inverse operations to get a variable with a coefficient of 1 alone on one side of the equation.,Aislar,"Usar propiedades de igualdad y operaciones inversas para poner una variable con un coeficiente de 1 sola a un lado de la ecuación, aislar."
339,Isometric drawing,"An isometric drawing shows a corner view of a three-dimensional figure. It is usually drawn on isometric dot paper. An isometric drawing allows you to see the top, front, and side of an object in the same drawing.",Dibujo isométrico,"Un dibujo isométrico muestra la perspectiva de una esquina de una figura tridimensional. Generalmente se dibuja en papel punteado isométrico. Un dibujo isométrico permite ver la cima, el frente, y el lado de un objeto en el mismo dibujo."
340,Isometry,"An isometry, also known as a congruence transformation, is a transformation in which an original figure and its image are congruent.",Isometría,"Una isometría, conocida también como una transformación de congruencia, es una transformación en donde una figura original y su imagen son congruentes."
341,Isosceles trapezoid,An isosceles trapezoid is a trapezoid whose nonparallel opposite sides are congruent.,Trapecio isósceles,Un trapecio isósceles es un trapecio cuyos lados opuestos no paralelos son congruentes.
342,Isosceles triangle,"An isosceles triangle is a triangle that has at least two congruent sides. If there are two congruent sides, they are called legs. The vertex angle is between them. The third side is called the base and the other two angles are called the base angles.",Triángulo isósceles,"Un triángulo isósceles es un triángulo que tiene por lo menos dos lados congruentes. Si tiene dos lados congruentes, éstos se llaman catetos. Entre ellos se encuentra el ángulo del vértice. El tercer lado se llama base y los otros dos ángulos se llaman ángulos de base."
343,Joint frequency,A joint frequency is an entry in the body of a two-way frequency table.,Frecuencia conjunta,Una frecuencia conjunta es una entrada en el cuerpo de una tabla de frecuencias de doble entrada.
344,Joint relative frequency,A joint relative frequency is a joint frequency in a two-way frequency table divided by the grand total of the entries in the table. It is also an entry in the body of a two-way relative frequency table.,Frecuencia relativa conjunta,Una frecuencia relativa conjunta es una frecuencia conjunta en una tabla de frecuencias de doble entrada dividida por el total de las entradas de la tabla. Es también una entrada en el cuerpo de una tabla de frecuencias relativas de doble entrada.
345,Joint variation,A joint variation is a relation in which one variable varies directly with respect to each of two or more variables.,Variación conjunta,Una variación conjunta es una relación en la cual el valor de una variable varía directamente con respecto a cada una de dos o más variables.
346,Kite,A kite is a quadrilateral with two pairs of consecutive sides congruent and no opposite sides congruent.,Cometa,Una cometa es un cuadrilátero con dos pares de lados congruentes consecutivos y sin lados opuestos congruentes.
347,Lateral area,The lateral area of a prism or pyramid is the sum of the areas of the lateral faces. The lateral area of a cylinder or cone is the area of the curved surface.,Área lateral,El área lateral de un prisma o pirámide es la suma de las áreas de sus caras laterals. El área lateral de un cilindro o de un cono es el área de la superficie curvada.
350,Law of Detachment,A law of deductive reasoning known as the law of detachment allows you to state a conclusion is true if the hypothesis of a true conditional is true.,Ley de separación,"Ley del razonamiento deductivo que permite establecer que una conclusión es verdadera si la hipótesis de un enunciado condicional verdadero es verdadera, de acuerdo con la ley de separación."
352,Law of Syllogism,A law of deductive reasoning known as the law of syllogism allows you to state a conclusion from two true conditional statements when the conclusion of one statement is the hypothesis of the other statement.,Ley del silogismo,Ley del silogismo es la ley del razonamiento deductivo que permite establecer una conclusión a partir de dos enunciados condicionales verdaderos cuando la conclusión de uno de los enunciados es la hipótesis del otro.
353,Leading coefficient,"In a polynomial, the non-zero term that is multiplied by the greatest power of x is the leading coefficient.",Coeficiente principal,"En un polinomio, el término distinto de cero que se multiplica por la potencia de x mayor es el coeficiente principal."
355,Like radicals,Like radicals are the radical expressions that have the same radicands.,Radicales semejantes,Expresiones radicales que son radicales semejantes si tienen los mismos radicandos.
356,Like terms,Terms with exactly the same variable factors in a variable expression are called like terms.,Términos semejantes,Términos semejantes son aquellos que tienen los mismos factores variables en una expresión variable.
363,Line plot,A line plot is a graph that shows the shape of a data set by stacking X's above each data value on a number line.,Diagrama de puntos,Un diagrama de puntosisesuna gráfica que muestra la forma de un conjunto de datos agrupando X sobre cada valor de una recta numérica.
368,Linear function,A function whose graph is a line is a linear function. You can represent a linear function with a linear equation.,Función lineal,Una función cuya gráfica es una recta es una función lineal. La función lineal se representa con una ecuación lineal.
369,Linear inequality,An inequality in two variables whose graph is a region of the coordinate plane that is bounded by a line. Each point in the region is a solution of the linear inequality.,Desigualdad lineal,Una desigualdad lineal de dos variables cuya gráfica es una región del plano de coordenadas delimitado por una recta. Cada punto de la región es una solución de la desigualdad lineal.
370,Linear pair,A linear pair is a pair of adjacent angles whose noncommon sides are opposite rays.,Par lineal,Un par lineal es un par de ángulos adjuntos cuyos lados no comunes son semirrectas opuestas.
371,Linear parent function,The simplest form of a linear function known as the linear parent function.,Función lineal elemental,La forma más simple de una función lineal elemental.
372,Linear programming,"Linear programming is a method for finding a minimum or maximum value of some quantity, given a set of constraints.",Programación lineal,Programación lineal es un método para hallar el valor mínimo y máximo de una cantidad que se expresa como un conjunto de limitaciones.
373,Linear-quadratic system,A linear-quadratic system is a system of equations that includes a linear equation and a quadratic equation and is represented on a graph by the corresponding line and parabola.,Sistema cuadrático lineal,Un sistema cuadrático lineal de ecuaciones que incluye una ecuación lineal y una ecuación cuadrática y se representa en una gráfica con su línea y su parábola correspondientes.
374,Linear regression,A method used to calculate the line of best fit using linear regression techniques.,Regresión lineal,Método que se utiliza para calcular la línea de mejor ajuste en la regresión lineal.
375,Linear system,A linear system is a set of two or more linear equations that use the same variables.,Sistema lineal,Un sistema lineal es un conjunto de dos o más ecuaciones lineales con las mismas variables.
376,Literal equation,"An equation involving two or more variables, which is expressed in a literal equation form.",Ecuación literal,Ecuación literal que incluye dos o más variables.
377,Locus,"A locus is a set of points, all of which meet a stated condition.",Lugar geométrico,Un lugar geométrico es un conjunto de puntos que cumplen una condición dada.
379,Logarithmic equation,A logarithmic equation is an equation that includes a logarithm involving a variable.,Ecuación logarítmica,Una ecuación logarítmica es una ecuación que incluye un logaritmo con una variable.
380,Logarithmic function,A logarithmic function is the inverse of an exponential function.,Función logarítmica,Una función logarítmica es la inversa de una función exponencial.
382,Logarithmic scale,A logarithmic scale is a scale that uses the logarithm of a quantity instead of the quantity itself.,Escala logarítmica,Una escala logarítmica es una escala que usa el logaritmo de una cantidad en vez de la cantidad misma.
383,Magnitude,The magnitude of a vector <b>v</b> is the length of the arrow.,Magnitud,La magnitud de un vector <b>v</b> es la longitud de la flecha.
384,Major arc,A major arc of a circle is an arc that is larger than a semicircle.,Arco mayor,Un arco mayor de un círculo es cualquier arco más grande que un semicírculo.
385,Major axis,The major axis of an ellipse is the segment that contains the foci of the ellipse and has endpoints on the ellipse.,Eje mayor,"En una elipsis, el eje mayor es el segmento que contiene los focos de la elipsis y tiene puntos extremos sobre la elipsis."
387,Mapping diagram,A mapping diagram describes a relation by linking elements of the domain with elements of the range.,Mapa,Un mapa describe una relación al unir los elementos del dominio con los elementos del rango.
388,Margin of error,The margin of error of a sample statistic is the maximum expected difference between the sample statistic and the population parameter.,Margen de error,El margen de error de una estadística de muestreo aleatorio es la diferencia máxima que se espera entre la estadística de muestreo y el parámetro de la población.
389,Marginal frequency,A marginal frequency is an entry in the Total row or Total column of a two-way frequency table.,Frecuencia marginal,Una frecuencia marginal<insert space>es una entrada en la filaTotal oycolumnadelTotal de una tabla de frecuencias de doble entrada.
390,Marginal relative frequency,A marginal relative frequency is a marginal frequency in a two-way frequency table divided by the grand total for the table.,Frecuencia relativa marginal,Una frecuencia relativa marginal es una frecuencia marginal en una tabla de frecuencias de doble entrada divididaopor el total de la tabla.
391,Matrix,A matrix is a rectangular array of numbers written within brackets.,Matriz,Una matriz es un conjunto de números encerrados en corchetes y dispuestos en forma de rectángulo.
392,Matrix element,Every item listed in a matrix is a matrix element. A matrix element is identified by its position in the matrix.,Elemento matricial,Cada cifra de una matriz es un elemento matricial de la matriz. El elemento matricial se identifica según la posición que ocupa en la matriz.
393,Matrix equation,A matrix equation is an equation in which the variable is a matrix.,Ecuación matricial,Una ecuación matricial es una ecuación en que la variable es una matriz.
401,Measure of variation,"Measure of variation, such as the range, the interquartile range, and the standard deviation, describe how the data in a data set are spread out.",Medida de dispersión,"Una medida de dispersión, como el rango, el intervalo intercuartil y la desviación típica, describen cómo se dispersan los datos en un conjunto de datos."
403,Median,"The median is the middle value in a data set. If the data set contains an even number of values, the median is the mean of the two middle values.",Mediana,"La mediana es el valor situado en el medio en un conjunto de datos. Si el conjunto de datos contiene un número par de valores, la mediana es la media de los dos valores del medio."
405,Midline,The midline is the horizontal line through the average of the maximum and minimum values.,Línea media,Recta horizontal que pasa a través de la línea media de los valores máximos y mínimos.
411,Minor arc,A minor arc is an arc that is smaller than a semicircle.,Arco menor,Un arco menor de un círculo es un arco más corto que un semicírculo.
412,Minor axis,The minor axis of an ellipse is the segment that is perpendicular to the major axis at its midpoint and has endpoints on the ellipse.,Eje menor,"En una elipsis, el eje menor es el segmento perpendicular al eje mayor en su punto medio y que tiene puntos extremos sobre la elipsis."
413,Mode,"The mode is the most frequently occurring value (or values) in a set of data. A data set may have no mode, one mode, or more than one mode.",Moda,"La moda es el valor o valores que ocurren con mayor frequencia en un conjunto de datos. El conjunto de datos puede no tener moda, o tener una o más modas."
415,Monomial,"A monomial is a real number, a variable, or a product of a real number and one or more variables with whole number exponents.",Monomio,"Un monomio es un número real, variable o el producto de un número real y una o más variables con números enteros como exponentes."
416,Multiple zero,"If a linear factor is repeated in the complete factored form of a polynomial, the zero related to that factor is a multiple zero.",Cero múltiplo,"Si un factor lineal se repite en la forma factorizada completa de un polinomio, el cero relacionado con ese factor es un cero múltiplo."
417,Multiplication Counting Principle,"The multiplication counting principle states that if there are m ways to make the first selection and n ways to make the second selection, then there are m times n ways to make the two selections according to the multiplication counting principle.",Principio de Conteo en la Multiplicación,"Si hay m maneras de hacer la primera selección y n maneras de hacer la segunda selección, quiere decir que hay m multiplicado por n maneras de hacer las dos selecciones según el principio de conteo en la multiplicación."
418,Multiplicative identity,The multiplicative identity is 1. The product of 1 and any number is that number. The product of reciprocals is 1.,Identidad multiplicativa,La identidad multiplicativa es 1. El producto de 1 y cualquier otro número es ese número. El producto del recíproco es 1.
422,Multiplicity,The multiplicity of a zero of a polynomial function is the number of times the related linear factor is repeated in the factored form of the polynomial.,Multiplicidad,La multiplicidad de un cero de una función polinomial es el número de veces que el factor lineal relacionado se repite en la forma factorizada del polinomio.
424,n factorial,"The product of the integers from n down to 1, for any positive integer n. You write n factorial as n!. The value of 0! is defined to be 1.",n factorial,"Producto de todos los enteros desde n hasta 1, de cualquier entero positivo n. El factorial de n se escribe n!. El valor de n factorial para 0 se define como 1."
425,Natural base e,Natural base e is the value that the expression (1 + 1/x)^x approaches as <x→ ∞. The value is approximately 2.7818282 . . .,Base natural e,"El valor al que se acerca la expresión (1 + 1/x)^x a medida que x → ∞, conocido como base natural e, es aproximadamente igual a 2.7818282 . . ."
428,Natural numbers,The natural numbers are the counting numbers.,Números naturales,Los números naturales son los que se emplean para contar.
429,Negation,The negation of a statement has the opposite meaning of the original statement.,Negación,La negación de un enunciado tiene el sentido opuesto del enunciado original.
430,Negative association,"When y-values tend to decrease as xvalues increase, the two data sets have a negative association.",Asociación negativa,"Cuando los valores de y tienden a disminuir a medida que los valores de x aumentan, los dos conjuntos de datos tienen una asociación negativa."
431,Negative correlation,"The relationship characterized by a negative correlation between two sets of data, in which one set of data decreases as the other set of data increases.",Correlación negativa,Relación entre dos conjuntos de datos en la que la correlación negativa se presenta cuando uno de los conjuntos disminuye a medida que el otro se incrementa.
433,Net,A net is a two-dimensional pattern that you can fold to form a three-dimensional figure.,Plantilla,Una plantilla es una figura bidimensional que se puede doblar para formar una figura tridimensional.
434,n-gon,An n-gon is a polygon with n sides.,n-ágono,Un n-ágono es un polígono de n lados.
435,No association,"When there is no general relationship between x-values and y-values, the two data sets have no association.",Sin asociación,"Cuando no existe ninguna relación general entre los valores de x y los valores de y, los dos conjuntos de datos no tienen ninguna sin asociación."
436,No correlation,"There does not appear to be a relationship between two sets of data, indicating no correlation.",Sin correlación,No hay relación entre dos conjuntos de datos que se consideran sin correlación.
437,Nonagon,A nonagon is a polygon with nine sides.,Nonágono,Un nonágono es un polígono de nueve lados.
438,Nonlinear function,A nonlinear function is a function whose graph is not a line or part of a line.,Función no lineal,Función no lineal es una función cuya gráfica no es una línea o parte de una línea.
439,Non-removable discontinuity,A non-removable discontinuity is a point of discontinuity that is not removable. It represents a break in the graph of f where you cannot redefine f to make the graph continuous.,Discontinuidad irremovible,Una discontinuidad irremovible es un punto de discontinuidad que no se puede remover. Representa una interrupción en la gráfica f donde no se puede redefinir f para volverla una gráfica continua.
440,Non-rigid transformation,A non-rigid transformation is a transformation in the plane that does not preserve distances.,Transformación no rígida,Transformación no rígida que se realiza en un plano y que no conserva las distancias.
441,Normal distribution,A normal distribution shows data that vary randomly from the mean in the pattern of a bell-shaped curve.,Distribución normal,"Una distribución normal muestra, con una curva en forma de campana, datos que varían aleatoriamente respecto de la media."
442,Normal vectors,Normal vectors are perpendicular vectors. Their dot product is 0.,Vectores normales,Los vectores normales son vectores perpendiculares. El producto escalar es 0.
444,Null hypothesis,A null hypothesis is a statement that expresses that there is no difference between the parameter and the benchmark.,Hipótesis nula,Una hipótesis nula es un enunciado que expresa que no hay diferencia entre el parámetro y el punto de referencia.
445,Null set,A null set is a set that has no elements.,Conjunto vacío,Conjunto vacío que no tiene elementos.
446,Numerical expression,"A numerical expression is a mathematical phrase involving numbers and operation symbols, but no variables.",Expresión numérica,"Frase matemática que contiene números y operaciones con símbolos, pero no variables, y que se conoce como expresión numérica."
449,Observational study,"In an observational study, you measure or observe members of a sample in such a way that they are not affected by the study.",Estudio de observación,"En un estudio de observación, se miden u observan a los miembros de una muestra de tal manera que no les afecte el estudio."
450,Obtuse angle,An obtuse angle is an angle whose measure is between 90 degrees and 180 degrees.,Ángulo obtuso,Un ángulo obtuso es un ángulo que mide entre 90 y 180 grados.
451,Obtuse triangle,An obtuse triangle has one obtuse angle.,Triángulo obtusángulo,Un triángulo obtusángulo tiene un ángulo obtuso.
452,Octagon,An octagon is a polygon with eight sides.,Octágono,Un octágono es un polígono de ocho lados.
454,Odds,A ratio that compares the number of favorable and unfavorable outcomes. Odds in favor are the number of favorable outcomes : number of unfavorable outcomes. Odds against are number of unfavorable outcomes : number of favorable outcomes.,Probabilidades,Razón que compara el número de resultados favorables y no favorables. Las probabilidades a favor son el número de resultados favorables : número de resultados no favorables. Las probabilidades en contra son el número de resultados no favorables : número de resultados favorables.
456,Open sentence,An open sentence is an equation that contains one or more variables and may be true or false depending on the value of its variables.,Enunciado abierto,Una ecuación es un enunciado abierto si contiene una o más variables y puede ser verdadera o falsa dependiendo del valor de sus variables.
458,Opposite angles,Opposite angles of a quadrilateral are two angles that do not share a side.,Ángulos opuestos,Los ángulos opuestos de un cuadrilátero son dos ángulos que no comparten lados.
459,Opposite rays,Opposite rays are collinear rays with the same endpoint. They form a line.,Semirrectas opuestas,Las semirrectas opuestas son semirrectas colineales con el mismo extremo. Forman una recta.
461,Opposite sides,Opposite sides of a quadrilateral are two sides that do not share a vertex.,Lados opuestos,Los lados opuestos de un cuadrilátero son dos lados que no tienen un vértice en común.
462,Order of operations,The order of operations is a sequence that involves: 1. Performing any operation(s) inside grouping symbols. 2. Simplifying powers. 3. Multiplying and dividing in order from left to right. 4. Adding and subtracting in order from left to right.,Orden de las operaciones,"1. En la orden de las operaciones, se hacen las operaciones que están dentro de símbolos de agrupación. 2. En la orden de las operaciones, se simplifican todos los términos que tengan exponentes. 3. En la orden de las operaciones, se hacen las multiplicaciones y divisiones en orden de izquierda a derecha. 4. En la orden de las operaciones, se hacen las sumas y restas en orden de izquierda a derecha."
463,Ordered pair,Two numbers that identify the location of a point known as an ordered pair.,Par ordenado,Un par ordenado de números que denota la ubicación de un punto.
466,Origin,The origin is the point at which the axes of the coordinate plane intersect.,Origen,"Punto de intersección de los ejes del plano de coordenadas, conocido como origen."
468,Orthographic drawing,"An orthographic drawing is the top view, front view, and right-side view of a three-dimensional figure.",Dibujo ortográfico,"Un dibujo ortográfico es la vista desde arriba, la vista de frente y la vista del lado derecho de una figura tridimensional."
470,Outlier,An outlier is a data value that is much higher or lower than the other data values in the set.,Valor extremo,Un valor extremo es el valor de un dato que es mucho más alto o mucho más bajo que los otros valores del conjunto de datos.
473,Parabola,"A parabola is the graph of a quadratic function. It is the set of all points P in a plane that are the same distance from a fixed point F, the focus, as they are from a line d, the directrix.",Parábola,"La parábola es la gráfica de una función cuadrática. Es el conjunto de todos los puntos P situados en un plano a la misma distancia de un punto fijo F, o foco, y de la recta d, o directriz."
476,Parallel planes,Parallel planes are planes that do not intersect.,Planos paralelos,Planos paralelos son planos que no se cortan.
477,Parallelogram,A parallelogram is a quadrilateral with two pairs of parallel sides. You can choose any side to be the base. An altitude is any segment perpendicular to the line containing the base drawn from the side opposite the base. The height is the length of an altitude.,Paralelogramo,"Un paralelogramo es un cuadrilátero con dos pares de lados paralelos. Se puede escoger cualquier lado como la base. Una altura es un segmento perpendicular a la recta que contiene la base, trazada desde el lado opuesto a la base. La altura, por extensión, es la longitud de una altura."
478,Parameter,"A parameter is a piece of data from a whole population, not from a sample.",Parámetro,"Un parámetro es un dato de una población completa, no de una muestra."
479,Parent function,A parent function is the simplest form of a set of functions that form a family.,Función elemental,Una función elemental es la mínima expresión de un conjunto de funciones que forma una familia.
480,Pascal’s Triangle,Pascal’s Triangle is a triangular array of numbers in which the first and last number is 1. Each of the other numbers in the row is the sum of the two numbers above it.,Triángulo de Pascal,El Triángulo de Pascal es una distribución triangular de números en la cual el primer número y el último número son 1. Cada uno de los otros números en la fila es la suma de los dos números de encima.
481,Pentagon,A pentagon is a polygon with five sides.,Pentágono,Un pentágono es un polígono de cinco lados.
